DLsv,DLcv,DRcv,DRsv
5,6,34,32
5,6,80,76
5,6,92,89
5,6,133,129
5,6,124,120
44,48,29,27
36,40,18,16
5,6,120,116
17,18,79,74
5,6,118,114
5,6,192,188
59,61,137,133
21,24,169,165
93,96,97,93
5,6,149,145
20,23,131,126
17,19,136,132
109,113,33,30
105,109,38,36
23,25,72,69
37,40,60,57
92,95,5,3
57,60,43,40
90,93,64,61
64,67,7,6
27,29,43,41
12,13,65,62
6,7,107,104
23,25,50,47
6,7,91,88
72,76,65,61
100,104,37,34
60,63,79,76
10,11,55,51
55,58,51,47
12,13,33,30
142,145,38,36
29,31,21,20
4,5,72,68
4,5,98,94
8,9,64,60
46,50,23,21
12,13,88,84
64,68,33,29
12,13,159,155
13,14,138,134
12,13,190,186
103,108,93,88
12,13,128,124
