Verbo,Formas
say,said|saying
say,said|saying
say,said|saying
say,said|saying
say,said|saying
give,give|given|gave
give,give|given|gave
say,said|saying
say,said|saying
say,said|saying
say,said|saying
have,had|have
say,said|saying
have,had|have
say,said|saying
give,give|given|gave
have,had|have
give,give|given|gave
have,had|have
have,had|have
have,had|have
have,had|have
have,had|have
have,had|have
have,had|have
say,said|saying
say,said|saying
give,give|given|gave
have,had|have
say,said|saying
say,said|saying
say,said|saying
have,had|have
say,said|saying
say,said|saying
say,said|saying
give,give|given|gave
say,said|saying
say,said|saying
say,said|saying
say,said|saying
give,give|given|gave
say,said|saying
say,said|saying
say,said|saying
say,said|saying
say,said|saying
say,said|saying
say,said|saying
