Verbo,Formas
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
dar,den|dieron|dado|dio|dan|da
dar,den|dieron|dado|dio|dan|da
dar,den|dieron|dado|dio|dan|da
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
tener,tened|tenga|tuve
decir,dijo|dicho
tener,tened|tenga|tuve
decir,dijo|dicho
dar,den|dieron|dado|dio|dan|da
dar,den|dieron|dado|dio|dan|da
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
dar,den|dieron|dado|dio|dan|da
dar,den|dieron|dado|dio|dan|da
tener,tened|tenga|tuve
decir,dijo|dicho
dar,den|dieron|dado|dio|dan|da
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
decir,dijo|dicho
