DLsv,DLcv,DRcv,DRsv
5,6,34,32
5,6,80,76
5,6,92,89
5,6,133,129
5,6,124,120
44,48,29,27
36,40,18,16
5,6,120,116
17,18,79,74
5,6,118,114
5,6,192,188
59,61,137,133
21,24,169,165
93,96,97,93
5,6,149,145
20,23,131,126
17,19,136,132
109,113,33,30
105,109,38,36
23,25,72,69
37,40,60,57
92,95,5,3
57,60,43,40
90,93,64,61
64,67,7,6
27,29,43,41
12,13,65,62
6,7,107,104
23,25,50,47
6,7,91,88
72,76,65,61
100,104,37,34
60,63,79,76
10,11,55,51
55,58,51,47
12,13,33,30
142,145,38,36
29,31,21,20
4,5,72,68
4,5,98,94
8,9,64,60
46,50,23,21
12,13,88,84
64,68,33,29
12,13,159,155
13,14,138,134
103,108,93,88
12,13,190,186
12,13,128,124
49,53,28,26
55,59,22,20
17,20,65,62
72,75,32,30
27,29,53,50
9,10,54,51
34,37,77,74
9,10,71,67
46,50,31,29
4,5,71,68
5,7,46,43
130,134,44,41
9,10,132,128
60,63,7,5
8,9,126,122
88,92,43,42
63,67,57,53
20,23,61,58
20,23,99,94
5,5,78,75
9,10,99,95
68,70,99,95
24,26,44,41
9,10,145,141
32,35,120,116
142,146,9,7
57,60,28,26
5,6,123,119
35,37,92,88
45,48,63,61
107,110,25,22
9,10,92,89
60,63,39,37
22,23,79,76
97,101,41,38
61,64,14,12
5,5,61,59
50,53,33,30
70,73,5,3
5,5,72,68
9,10,110,106
5,5,190,187
17,20,1,6
37,40,164,160
195,199,5,4
27,31,53,50
62,67,13,12
58,62,19,17
36,40,1,6
5,6,113,109
10,10,68,65
5,6,97,93
50,53,50,47
45,48,12,11
4,5,59,56
4,5,54,51
41,45,42,39
32,35,24,21
5,5,89,86
6,7,103,99
69,72,39,36
94,97,14,13
6,7,130,126
9,10,57,53
9,10,134,130
41,44,100,96
127,131,13,11
20,21,8,6
170,173,24,22
12,13,102,99
8,10,106,103
23,25,90,87
72,75,116,113
103,106,85,82
186,189,1,4
29,31,85,81
50,52,64,62
67,71,98,94
53,56,64,60
5,5,115,112
22,25,95,93
66,69,58,55
14,16,110,107
3,0,91,88
5,5,83,79
30,33,55,52
36,39,78,75
23,25,73,69
33,36,65,62
78,81,1,3
48,51,28,26
69,71,39,36
28,30,58,55
28,30,25,22
7,8,103,100
9,10,139,135
37,39,23,21
64,67,11,10
24,27,74,71
5,5,103,99
21,22,126,122
18,19,107,103
17,19,134,131
7,8,144,140
16,19,58,54
70,74,15,14
15,17,52,49
29,31,38,36
7,8,92,88
28,30,70,66
99,102,20,19
103,107,14,12
25,28,88,85
51,55,55,49
31,32,80,77
7,8,93,89
31,33,68,65
7,8,66,63
30,32,41,38
37,39,84,80
26,27,98,95
80,84,41,39
28,30,96,92
97,101,25,22
4,5,84,81
63,65,24,22
4,5,46,43
4,5,119,116
14,15,39,35
4,5,131,127
66,69,22,21
31,33,52,49
5,5,110,106
38,42,86,81
62,65,64,60
56,60,70,66
40,43,40,37
6,8,150,146
91,94,32,30
54,57,70,67
54,57,42,39
6,8,141,137
42,45,103,99
86,89,61,58
39,41,108,104
7,8,110,106
4,5,102,98
68,72,35,32
18,20,58,54
18,20,77,73
18,20,113,109
63,66,40,37
68,71,35,32
59,63,56,53
38,42,1,6
85,88,10,8
70,73,10,8
7,8,127,124
5,6,88,85
