DLsv,DLcv,DRcv,DRsv
7,8,25,23
7,8,69,66
7,8,95,91
6,7,134,131
47,50,92,89
76,79,63,61
29,32,100,97
7,8,123,120
7,8,101,98
11,15,85,78
7,8,109,106
7,8,179,175
70,75,111,107
14,18,145,141
70,75,87,83
2,4,143,140
44,46,103,101
25,29,118,114
20,25,39,34
4,0,69,66
7,8,100,96
84,88,65,62
114,119,33,30
42,45,46,42
18,19,32,30
144,147,34,32
29,33,78,72
28,32,41,38
23,25,67,64
53,56,16,14
17,19,70,66
57,61,28,26
17,19,167,164
7,8,116,112
59,63,60,55
8,9,155,151
68,75,85,78
10,12,153,150
64,67,38,34
40,42,64,61
6,7,65,63
13,15,58,56
36,39,41,39
4,4,45,42
32,34,67,64
3,3,68,65
10,11,92,89
12,13,124,120
71,75,61,57
56,63,63,57
29,32,99,96
8,10,70,67
8,9,21,18
8,10,22,19
10,12,26,23
14,16,21,18
9,11,21,18
8,10,25,22
13,15,22,19
9,11,22,20
15,17,98,92
8,9,32,29
13,15,87,84
4,1,136,133
10,12,122,118
109,115,17,16
13,15,91,87
4,3,46,43
19,21,29,26
21,24,31,28
187,192,4,5
8,1,49,45
8,0,71,67
13,15,54,49
18,21,38,35
7,8,8,5
26,28,176,172
34,38,41,38
71,74,4,3
27,31,9,8
33,37,0,8
4,1,121,118
10,12,80,78
8,11,41,38
110,115,45,40
4,0,56,53
4,0,56,52
52,55,47,43
9,12,30,29
9,10,115,110
27,29,98,94
7,1,129,123
8,10,122,118
7,8,135,132
71,74,12,10
35,39,49,46
11,13,21,18
9,11,21,18
10,11,21,18
10,11,19,16
8,9,21,18
10,11,21,18
9,11,20,17
8,10,35,32
18,19,5,5
13,15,77,74
26,29,48,45
49,53,24,22
24,27,86,82
46,48,65,62
39,42,53,50
33,35,46,44
2,0,87,85
23,23,58,56
7,7,96,90
15,16,83,80
93,97,0,5
54,57,13,11
22,26,20,16
12,13,93,90
6,7,113,110
25,28,31,28
52,55,1,4
36,40,12,10
8,9,122,117
101,104,0,3
6,10,62,56
64,67,17,14
19,21,45,42
70,73,27,24
51,56,55,51
18,19,96,92
41,43,62,59
23,26,52,48
32,35,79,73
27,28,90,87
22,23,100,98
9,10,74,71
10,12,117,113
23,25,105,102
30,34,84,77
59,62,60,56
19,23,51,48
38,41,32,30
12,13,137,133
92,96,53,51
88,91,22,20
12,13,121,117
4,3,96,93
33,37,60,54
15,18,39,38
4,4,102,99
4,4,122,118
51,55,70,66
44,47,63,60
4,4,63,60
53,56,11,10
27,28,11,10
5,5,32,30
41,44,55,52
5,5,93,89
39,42,0,8
4,4,105,101
2,4,96,93
2,4,68,65
20,23,85,81
39,42,80,75
119,122,5,5
11,12,35,32
38,41,100,97
40,42,30,29
188,193,0,5
6,7,32,31
11,12,37,34
4,1,70,66
116,121,21,20
139,144,0,5
41,43,67,64
68,71,36,33
85,88,19,17
7,8,149,145
86,91,64,58
19,22,67,59
51,56,35,31
13,15,71,68
43,47,35,29
68,71,16,14
106,112,6,4
59,62,25,23
29,33,50,44
17,19,68,66
13,15,38,35
135,139,36,34
12,15,86,84
23,24,41,37
15,17,70,67
14,15,84,77
9,9,112,109
4,1,123,120
6,7,128,123
4,4,207,204
28,30,180,175
13,16,79,73
44,50,44,38
4,1,43,42
5,6,156,151
137,143,18,15
50,53,165,162
13,15,97,92
78,84,29,25
27,30,83,78
67,70,99,96
28,32,96,90
5,5,24,23
4,3,107,103
14,15,110,106
13,16,68,64
10,12,111,105
82,85,41,38
23,25,100,97
31,34,141,138
93,96,79,75
16,19,104,98
82,85,41,38
29,32,93,90
6,7,66,63
6,7,69,66
7,7,68,65
36,39,65,62
7,8,96,93
42,44,41,38
9,10,111,107
43,47,74,71
4,6,119,116
90,92,52,49
59,62,56,53
4,2,57,54
115,120,21,18
47,50,92,89
52,54,31,29
4,3,65,62
7,7,147,143
22,25,129,125
65,70,4,6
13,14,60,57
56,60,10,9
6,7,31,28
11,12,55,52
24,27,63,59
43,47,43,39
72,76,15,14
41,43,25,24
5,6,93,89
10,12,146,143
95,98,60,57
52,54,119,116
72,75,73,70
80,86,60,54
71,74,17,15
71,77,34,26
145,150,10,7
37,38,34,32
4,3,115,112
114,118,0,4
148,152,0,4
14,15,94,91
12,13,130,126
76,80,63,61
32,35,89,84
36,41,43,40
4,3,116,112
51,54,41,39
4,3,85,81
26,29,59,56
47,52,55,50
83,87,24,22
28,30,41,39
30,31,38,37
23,26,67,62
64,66,28,27
69,73,0,4
46,51,64,59
10,13,89,81
23,26,78,74
9,9,112,110
76,78,43,42
133,140,0,8
26,28,87,84
38,41,74,71
94,97,18,17
41,47,92,87
88,91,52,48
82,86,42,40
78,82,26,23
14,15,98,94
72,76,36,33
38,43,65,61
9,9,42,38
87,94,95,88
116,119,74,71
17,21,78,75
4,1,107,104
66,70,13,12
26,27,190,187
96,100,117,113
188,194,21,17
78,82,72,69
32,34,46,44
63,66,7,6
3,2,93,90
50,52,16,14
53,56,10,9
8,0,143,135
4,6,75,72
98,102,87,84
128,132,58,56
4,3,87,83
53,55,81,78
125,128,5,5
33,35,66,62
89,93,8,8
58,62,38,35
68,72,28,25
7,8,23,21
51,55,53,51
58,61,17,15
18,21,58,56
73,77,0,5
16,19,72,66
4,2,44,41
33,37,8,6
76,80,71,68
75,78,35,32
26,27,75,71
75,78,25,24
76,79,46,43
48,52,72,67
124,127,23,21
47,51,98,95
45,48,83,80
65,69,62,59
110,113,19,16
83,86,62,59
27,32,59,53
76,80,7,6
49,52,55,52
67,70,37,35
93,96,29,26
42,46,77,71
8,9,81,77
44,48,42,38
15,17,46,43
89,93,0,6
47,51,96,91
59,62,64,62
6,6,47,45
7,7,20,18
24,25,0,5
29,31,87,84
48,51,30,29
5,5,88,84
33,36,54,50
9,10,129,126
24,25,38,36
105,108,4,4
74,78,32,29
4,0,95,91
11,12,62,59
4,0,61,57
12,13,94,91
20,23,50,47
70,73,0,4
72,76,62,58
51,54,89,86
84,89,93,89
75,78,105,102
29,30,124,120
73,79,72,67
9,10,118,114
32,39,56,52
15,16,84,81
5,0,85,80
71,77,7,6
15,16,65,62
47,53,63,58
64,71,67,62
32,35,124,121
8,9,82,79
22,23,67,63
57,62,88,84
95,101,20,18
47,53,69,63
21,25,95,87
8,10,70,67
102,106,33,30
4,2,42,39
20,23,59,51
74,82,0,8
4,5,68,65
21,23,59,55
55,58,32,29
59,62,5,4
16,17,53,49
5,6,71,68
38,40,52,49
4,2,109,105
101,104,7,7
9,10,48,44
52,58,65,58
5,6,65,64
55,57,12,11
37,40,63,59
28,29,113,109
52,55,87,83
64,67,40,37
4,2,44,42
15,18,28,26
13,15,132,128
61,64,83,79
4,4,102,99
20,22,82,77
30,32,103,100
61,64,79,75
83,87,53,50
6,6,152,148
36,42,41,38
6,7,105,104
98,102,8,7
117,125,41,38
121,126,0,5
36,38,106,103
122,125,19,18
118,123,0,5
21,23,58,55
10,12,67,64
4,2,77,74
18,22,87,79
83,85,30,28
62,65,31,29
99,104,55,50
89,94,74,69
11,13,83,80
5,5,82,78
71,75,11,9
4,2,104,101
145,148,39,37
4,5,86,82
70,73,19,18
8,8,71,69
7,8,78,75
5,5,58,55
30,34,33,30
34,35,50,47
30,31,39,37
11,13,72,69
6,6,35,33
44,45,87,84
43,46,22,20
31,33,60,57
47,49,28,26
6,6,38,36
46,50,66,64
11,12,105,102
27,31,84,81
78,82,33,31
14,16,100,97
27,31,89,85
82,86,34,32
14,16,105,102
27,31,64,62
89,92,4,4
14,16,80,77
56,60,33,31
18,21,73,69
35,37,57,55
42,46,54,51
6,6,104,100
47,48,64,62
87,90,19,17
3,2,40,38
15,17,16,14
13,14,86,82
66,70,30,28
98,101,0,3
35,37,23,20
6,6,81,78
28,32,53,48
23,25,45,42
54,56,14,13
19,20,16,14
4,4,35,33
17,18,23,20
4,1,74,71
86,89,51,47
106,110,67,63
57,60,110,106
28,31,22,20
4,4,74,71
39,41,39,37
15,18,60,56
17,19,21,19
4,1,99,95
14,18,82,78
64,68,32,30
6,7,29,27
38,41,5,3
24,28,25,22
12,13,41,38
17,19,26,23
39,43,35,33
23,25,54,51
24,26,108,101
19,21,93,89
44,47,68,65
5,5,26,24
26,30,0,5
109,113,75,71
7,10,91,86
28,30,43,40
40,44,93,89
13,15,65,62
4,4,95,92
5,4,139,134
73,78,65,60
36,39,3,3
23,26,34,31
45,49,11,10
4,3,133,129
20,24,58,53
36,41,42,37
94,98,0,5
47,50,45,42
54,56,40,38
18,20,75,72
12,13,72,68
14,15,69,65
53,59,45,41
66,69,40,38
4,2,105,101
19,21,55,52
29,30,46,44
86,90,65,61
11,12,132,128
48,52,83,80
13,15,153,149
160,164,4,4
5,6,94,90
6,6,59,57
10,11,57,54
13,14,67,65
14,18,63,60
20,23,86,81
7,9,98,90
42,46,65,61
5,0,89,85
25,30,70,65
65,70,32,29
73,77,45,42
11,13,110,106
4,4,69,67
14,16,56,53
4,5,117,113
66,72,47,44
117,121,14,11
69,73,31,29
5,5,95,91
36,38,32,28
19,20,55,51
41,44,58,55
11,14,116,108
58,66,64,58
5,2,92,87
73,77,17,15
61,68,38,33
8,9,147,141
36,39,118,114
40,43,0,5
17,18,72,68
4,4,39,35
4,4,95,91
13,15,84,81
20,23,90,82
33,37,37,32
35,38,72,69
115,118,9,8
6,6,52,50
13,15,42,38
65,69,31,28
8,9,33,32
6,7,121,118
47,50,77,73
4,4,122,118
66,70,56,53
28,30,42,40
24,28,27,24
21,22,71,67
81,85,8,8
12,13,79,75
76,79,13,12
53,56,39,36
6,3,99,93
29,32,74,72
7,10,86,80
76,82,0,8
162,168,13,11
11,13,191,187
125,133,67,62
10,12,103,100
11,13,116,113
40,44,84,78
43,47,26,23
4,2,94,90
8,9,120,116
34,37,49,45
73,77,9,7
12,13,73,70
66,68,25,23
41,44,48,44
75,81,8,7
14,16,83,80
43,48,6,5
29,31,8,7
49,53,40,36
9,10,32,29
29,32,10,10
9,10,76,73
40,43,48,46
59,62,33,31
4,4,65,62
4,3,33,31
38,42,75,70
56,62,57,53
7,8,113,110
56,60,90,85
86,92,60,55
104,107,46,42
10,13,42,38
6,7,97,94
4,4,124,120
65,71,13,13
46,49,66,62
6,2,36,33
23,27,13,11
51,56,57,51
10,10,105,101
32,36,21,18
76,80,74,71
11,12,71,70
5,0,126,121
20,22,40,37
55,62,60,56
70,74,58,54
12,13,29,27
18,20,35,33
14,16,71,68
80,83,4,4
11,12,95,92
123,126,22,19
29,31,152,145
13,15,49,46
180,184,8,8
27,30,91,87
92,96,25,23
105,109,11,10
47,50,44,42
53,57,35,30
5,5,122,119
22,24,103,99
95,98,30,28
46,48,43,40
35,39,90,83
95,101,29,26
14,16,78,74
56,62,29,26
5,5,99,96
132,136,26,25
46,51,107,99
22,26,129,124
23,25,85,81
63,66,44,42
87,92,17,14
21,22,45,42
80,87,20,17
9,11,100,97
25,27,38,35
30,34,41,38
97,101,0,5
49,51,119,114
138,143,27,23
14,15,112,107
63,67,19,17
9,9,122,119
125,130,0,5
27,31,74,69
23,26,102,95
86,89,43,40
39,41,55,50
78,81,19,19
51,57,44,38
49,52,39,37
76,82,64,58
13,15,43,40
71,78,38,35
74,78,62,59
7,7,130,123
19,22,116,110
39,44,33,29
61,64,65,63
47,50,125,122
42,45,41,38
35,39,32,28
42,45,22,19
16,20,45,42
96,99,8,8
15,16,103,100
25,30,87,82
18,21,52,46
15,16,46,43
4,4,44,41
9,9,47,42
16,18,98,92
60,65,26,23
48,53,86,80
70,74,57,52
15,16,78,75
8,8,79,76
10,10,58,55
9,9,88,85
35,36,83,80
5,4,109,105
58,61,38,35
42,45,60,57
27,29,46,43
98,101,46,42
142,146,1,4
21,23,83,78
36,39,44,41
57,60,40,38
104,110,62,57
59,62,64,61
35,39,85,79
119,124,0,6
49,53,20,18
5,5,62,59
